album_id,name,release_date,total_tracks,url
53985D8g3JcGBoULSOYYKX,Seven (feat. Latto),2023-07-14,3,https://open.spotify.com/album/53985D8g3JcGBoULSOYYKX
3puAvurwvtvi1rodndIPW8,LA VIDA ES UNA,2023-03-23,23,https://open.spotify.com/album/3puAvurwvtvi1rodndIPW8
1NAmidJlEaVgA3MpcPFYGq,Lover,2019-08-23,18,https://open.spotify.com/album/1NAmidJlEaVgA3MpcPFYGq
10eNMeTimUzAKLhCOpIUlb,K-POP,2023-07-21,1,https://open.spotify.com/album/10eNMeTimUzAKLhCOpIUlb
5kqfR7EuGbyp8x27Pr1kY9,vampire,2023-06-30,1,https://open.spotify.com/album/5kqfR7EuGbyp8x27Pr1kY9
5CM66hwjlbZ06LhONWXOAs,Barbie World (with Aqua) [From Barbie The Album],2023-06-23,1,https://open.spotify.com/album/5CM66hwjlbZ06LhONWXOAs
5V729UqvhwNOcMejx0m55I,NewJeans 'Super Shy',2023-07-07,2,https://open.spotify.com/album/5V729UqvhwNOcMejx0m55I
3AafSrFIbJPH6BJHiJm1Cd,"What Was I Made For? [From The Motion Picture ""Barbie""]",2023-07-13,1,https://open.spotify.com/album/3AafSrFIbJPH6BJHiJm1Cd
5cH7FqB7JD5q1tJXJ7FHYu,Dance The Night (From Barbie The Album),2023-05-25,1,https://open.spotify.com/album/5cH7FqB7JD5q1tJXJ7FHYu
07kam1Dks7GIucbSelfvyX,Columbia,2023-07-07,1,https://open.spotify.com/album/07kam1Dks7GIucbSelfvyX
5l0QlaI3wdZpE7ggoO5Rwg,Sprinter,2023-06-01,1,https://open.spotify.com/album/5l0QlaI3wdZpE7ggoO5Rwg
5aDEezKnOqyQo0qvTFhpkM,DESVELADO,2023-04-28,16,https://open.spotify.com/album/5aDEezKnOqyQo0qvTFhpkM
5qmZefgh78fN3jsyPPlvuw,a Gift & a Curse,2023-06-16,15,https://open.spotify.com/album/5qmZefgh78fN3jsyPPlvuw
5gCcb5fsSb6w5K8SyJrgtB,WHERE SHE GOES,2023-05-18,1,https://open.spotify.com/album/5gCcb5fsSb6w5K8SyJrgtB
7aGzSSUD8S6IhPCsZSiuMT,un x100to,2023-04-17,1,https://open.spotify.com/album/7aGzSSUD8S6IhPCsZSiuMT
6aBVGuOUEuX18rHxyDWbti,La Bebe (Remix),2023-03-17,2,https://open.spotify.com/album/6aBVGuOUEuX18rHxyDWbti
6NcI39WPu4kY6Tul11nhSv,Daylight,2023-04-14,1,https://open.spotify.com/album/6NcI39WPu4kY6Tul11nhSv
1nrVofqDRs7cpWXJ49qTnP,SOS,2022-12-08,23,https://open.spotify.com/album/1nrVofqDRs7cpWXJ49qTnP
5r36AJ6VOJtp00oxSkBZ5h,Harry's House,2022-05-20,13,https://open.spotify.com/album/5r36AJ6VOJtp00oxSkBZ5h
0HiZ8fNXwJOQcrf5iflrdz,Endless Summer Vacation,2023-03-10,13,https://open.spotify.com/album/0HiZ8fNXwJOQcrf5iflrdz
5letLUZIFsQikJYShfGNs4,The Beginning: Cupid,2023-02-24,3,https://open.spotify.com/album/5letLUZIFsQikJYShfGNs4
4jox3ip1I39DFC2B7R5qLH,GÉNESIS,2023-06-29,17,https://open.spotify.com/album/4jox3ip1I39DFC2B7R5qLH
78bpIziExqiI9qztvNFlQu,AM,2013-09-09,12,https://open.spotify.com/album/78bpIziExqiI9qztvNFlQu
4xc3Lc9yASZgEJGH7acWMB,FACE,2023-03-24,6,https://open.spotify.com/album/4xc3Lc9yASZgEJGH7acWMB
4jtQUtS4ABgER3DnGfKJCv,Classy 101,2023-03-31,1,https://open.spotify.com/album/4jtQUtS4ABgER3DnGfKJCv
1vw6eLxCJRAfD6RMJTiuKZ,SABOR FRESA,2023-06-22,1,https://open.spotify.com/album/1vw6eLxCJRAfD6RMJTiuKZ
6i7mF7whyRJuLJ4ogbH2wh,One Thing At A Time,2023-03-03,36,https://open.spotify.com/album/6i7mF7whyRJuLJ4ogbH2wh
5O0zUvdnJr0RbWzLFneN2i,Popular (Music from the HBO Original Series),2023-06-02,1,https://open.spotify.com/album/5O0zUvdnJr0RbWzLFneN2i
4N1fROq2oeyLGAlQ1C1j18,NewJeans 2nd EP 'Get Up',2023-07-21,6,https://open.spotify.com/album/4N1fROq2oeyLGAlQ1C1j18
5dKPhEYBhP8j85HcxQfaw6,"Peso Pluma: Bzrp Music Sessions, Vol. 55",2023-06-01,1,https://open.spotify.com/album/5dKPhEYBhP8j85HcxQfaw6
2szyIt0ulaHnKxxyrlUCDB,El Azul,2023-02-10,1,https://open.spotify.com/album/2szyIt0ulaHnKxxyrlUCDB
0nayxjaX54Frd7GsZq6Pbs,Rave & Roses Ultra,2023-04-27,22,https://open.spotify.com/album/0nayxjaX54Frd7GsZq6Pbs
3GqCt85yKxtKxnIivSN15e,TQM,2023-05-19,1,https://open.spotify.com/album/3GqCt85yKxtKxnIivSN15e
7txGsnDSqVMoRl6RQ9XyZP,HEROES & VILLAINS,2022-12-02,15,https://open.spotify.com/album/7txGsnDSqVMoRl6RQ9XyZP
4g1ZRSobMefqF6nelkgibi,Hollywood's Bleeding,2019-09-06,17,https://open.spotify.com/album/4g1ZRSobMefqF6nelkgibi
2nkto6YNI4rUYTLqEwWJ3o,Flower Boy,2017-07-21,14,https://open.spotify.com/album/2nkto6YNI4rUYTLqEwWJ3o
2QJmrSgbdM35R67eoGQo4j,1989,2014-10-27,13,https://open.spotify.com/album/2QJmrSgbdM35R67eoGQo4j
6xRxlUUfg3M0QB1LUX89gA,DATA,2023-06-29,19,https://open.spotify.com/album/6xRxlUUfg3M0QB1LUX89gA
151w1FgRZfnKZA9FEcg9Z3,Midnights,2022-10-21,13,https://open.spotify.com/album/151w1FgRZfnKZA9FEcg9Z3
6iZUwDpa27jeAvKxs8UYI2,Frágil,2023-04-07,1,https://open.spotify.com/album/6iZUwDpa27jeAvKxs8UYI2
4kS7bSuU0Jm9LYMosFU2x5,MAÑANA SERÁ BONITO,2023-02-24,17,https://open.spotify.com/album/4kS7bSuU0Jm9LYMosFU2x5
5BRhg6NSEZOj0BR6Iz56fR,Plastic Hearts,2020-11-27,15,https://open.spotify.com/album/5BRhg6NSEZOj0BR6Iz56fR
35dut3ICqF3NEDkjxfzJJ1,Starboy (Deluxe),2023-03-14,21,https://open.spotify.com/album/35dut3ICqF3NEDkjxfzJJ1
7M842DMhYVALrXsw3ty7B3,I'm Good (Blue),2022-08-26,2,https://open.spotify.com/album/7M842DMhYVALrXsw3ty7B3
04PEOM6kIEeq9lRp1asNP2,"I Ain’t Worried (Music From The Motion Picture ""Top Gun: Maverick"")",2022-05-13,1,https://open.spotify.com/album/04PEOM6kIEeq9lRp1asNP2
6DVg3IJPFr7JZDDXYcyPbU,Los del Espacio,2023-06-01,1,https://open.spotify.com/album/6DVg3IJPFr7JZDDXYcyPbU
